Day,Time,Title,Location,Duration,Presenter,Avatar,IsBreak,Tag
1,8:00 am,Registration and Networking,Hyatt meeting room,45,Fabiana Fionda,,TRUE,
1,9:00 am,"Welcome, Company Overview, Vision, Mission, Product line Overview",Hyatt meeting room,60,Tommy Kassim / ArunKarupaiah,https://fluidhandlingpro.com/wp-content/uploads/2021/07/Tommy_Kassem_07-21.jpg,FALSE,
1,10:00 am,Product Overview/main competitors/Success Stories Ð M303/EG/Danflo/CEG/4Way - API changes/Certifications/CFT Green,Hyatt meeting room,60,Raul Almazan / Brijesh Gajjar / Mohammed Umair Siddiqui,https://media.licdn.com/dms/image/v2/D5603AQFK_fN689PStQ/profile-displayphoto-shrink_800_800/B56ZXaoThLGcAc-/0/1743129754275?e=1773878400&v=beta&t=6nhmraa_Tu3mo1FzO1_KVNMKqKqUhAhfuAOCmtNoKfA,FALSE,
1,11:00 am,Break,Hyatt meeting room,30,,,TRUE,
1,11:30 am,Product Overview/main competitors/Success Stories Ð M303/EG/Danflo/CEG/4Way - API changes/Certifications/CFT Green,Hyatt meeting room lobby,60,Raul Almazan / Brijesh Gajjar / Mohammed Umair Siddiqui,https://media.licdn.com/dms/image/v2/D5603AQFK_fN689PStQ/profile-displayphoto-shrink_800_800/B56ZXaoThLGcAc-/0/1743129754275?e=1773878400&v=beta&t=6nhmraa_Tu3mo1FzO1_KVNMKqKqUhAhfuAOCmtNoKfA,FALSE,
1,12:30 pm,Lunch,Hyatt meeting room,60,,,TRUE,
1,1:45 pm,Bus to factory,Hyatt meeting room,30,,,FALSE,
1,2:15 pm,Factory Tour,Hyatt meeting room,120,Bob Wert / Mark Lewandowski,,FALSE,
1,4:15 pm,Bus back to hotel,Hyatt meeting room,30,,,FALSE,
1,6:30 pm,Channel Partner Dinner,To be confirmed,120,,,FALSE,
2,8:00 am,"Welcome, safety moment and Introductions",Hyatt meeting room,45,Fabiana Fionda,,TRUE,
2,8:45 am,Overview of CVK Product,Hyatt meeting room,30,Pedro Flores,,FALSE,
2,9:15 am,CVK / PRVS,Hyatt meeting room,30,Pedro Flores,,FALSE,
2,9:45 am,Succes Story from Channel Partner,Hyatt meeting room,15,CP to decide,,FALSE,
2,10:00 am,Break,Hyatt meeting room lobby,30,,,TRUE,
2,10:30 am,Sizing Tool,Hyatt meeting room,120,Kevin Teygart,,FALSE,
2,12:30 pm,Lunch ,Hyatt Dining room,60,,,TRUE,
2,1:30 pm,"Product / Applications - Feed Water, Recirculation Valve",Hyatt meeting room,30,Ken Lazzara,,FALSE,
2,2:00 pm,Product / Applications - DSCV,Hyatt meeting room,60,Mark Wheat,,FALSE,
2,3:00 pm,Break,Hyatt meeting room lobby,30,,,TRUE,
2,3:30 pm,Product / Applications - Desuperheater Overview,Hyatt meeting room,60,Kevin Teygart,,FALSE,
2,4:30 pm,Succes Story from Channel Partner,Hyatt meeting room,15,CP to decide,,FALSE,
2,4:45 pm,Round up of the day,Hyatt meeting room,30,Fabiana Fionda,,FALSE,
3,8:00 am,Welcome / Safety Moment / Question Time,,30,,,TRUE,
3,8:30 am,Bus to factory,Meet Hotel Lobby,30,,,FALSE,
3,9:00 am,Factory Tour,Westplain Facility,150,,,FALSE,
3,11:30 am,Bus back to hotel,Factory meeting point,30,,,FALSE,
3,12:00 pm,Lunch,Hyatt Dining room,60,,,TRUE,
3,1:00 pm,Open for meetings,Meeting Room,105,,,FALSE,
3,2:45 pm,Roundup / Thoughts / Catch ball,Meeting Room,45,Pedro Flores,,FALSE,
3,3:30 pm,Awards,Meeting Room,30,Ken Lazzara,,FALSE,
3,4:00 pm,Finish,Meeting Room,30,,,TRUE,
